Location,job_type,sql,sas,spark,java,r,lat,long
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
NY,data_analyst,1,0,0,0,0,43,-75
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
TX,data_analyst,1,0,0,0,0,31,-100
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
CA,data_analyst,0,0,0,0,1,36.778259,-119.417931
CA,data_analyst,1,1,0,0,0,36.778259,-119.417931
TX,data_analyst,0,0,0,0,0,31,-100
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
NY,data_analyst,0,0,0,0,0,43,-75
NY,data_analyst,0,0,0,0,0,43,-75
UT,data_analyst,0,0,0,0,0,39.41922,-11.950684
NJ,data_analyst,1,0,0,0,1,39.833851,-74.871826
TX,data_analyst,0,0,0,0,0,31,-100
MA,data_analyst,0,0,0,0,1,45.376584,-68.972168
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
GA,data_analyst,1,0,0,0,0,33.247875,-83.441162
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
CA,data_analyst,0,0,0,0,1,36.778259,-119.417931
FL,data_analyst,1,0,0,0,0,27.994402,-81.760254
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
NY,data_analyst,0,0,0,0,0,43,-75
NY,data_analyst,1,0,0,0,0,43,-75
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
CT,data_analyst,1,1,0,0,0,41.599998,-72.699997
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
AR,data_analyst,1,1,0,0,0,34.048927,-11.093735
CA,data_analyst,0,0,0,0,1,36.778259,-119.417931
NJ,data_analyst,1,0,0,0,0,39.833851,-74.871826
MA,data_analyst,0,0,0,0,1,45.376584,-68.972168
TX,data_analyst,0,0,0,0,0,31,-100
KY,data_analyst,0,0,0,0,0,37.839333,-84.27002
KY,data_analyst,0,0,0,0,0,37.839333,-84.27002
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
AZ,data_analyst,0,0,0,0,1,34.048927,-11.093735
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
