Location,job_type,sql,sas,spark,java,r,lat,long
FL,data_engineer,1,0,0,0,0,27.994402,-81.760254
NY,data_engineer,1,0,0,0,1,43,-75
IA,data_engineer,1,0,0,0,1,42.032974,-93.581543
NJ,data_engineer,1,0,0,0,0,39.833851,-74.871826
WI,data_engineer,0,0,0,1,0,44.5,-89.5
MA,data_engineer,1,0,0,0,1,45.376584,-68.972168
NY,data_engineer,1,0,0,0,0,43,-75
NC,data_engineer,1,1,0,1,0,35.782169,-80.793457
SC,data_engineer,0,0,0,0,0,33.836082,-81.163727
KS,data_engineer,0,0,0,1,0,38.5,-98
MN,data_engineer,0,0,0,0,0,46.39241,-94.63623
MA,data_engineer,1,0,0,0,1,45.376584,-68.972168
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
FL,data_engineer,0,0,0,0,0,27.994402,-81.760254
KY,data_engineer,1,0,1,1,0,37.839333,-84.27002
WI,data_engineer,0,0,0,1,0,44.5,-89.5
IN,data_engineer,0,0,1,0,1,40.273502,-86.126976
OH,data_engineer,0,0,0,1,1,40.367474,-82.996216
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,1,0,0,36.778259,-119.417931
IN,data_engineer,0,0,0,0,0,40.273502,-86.126976
FL,data_engineer,1,1,0,0,0,27.994402,-81.760254
VA,data_engineer,0,0,0,0,0,37.926868,-68.024902
CT,data_engineer,0,0,0,0,0,41.599998,-72.699997
FL,data_engineer,1,1,0,0,0,27.994402,-81.760254
IA,data_engineer,1,0,0,0,0,42.032974,-93.581543
CO,data_engineer,0,0,0,0,0,39.113014,-105.358887
NH,data_engineer,1,0,0,0,0,44,-71.5
PA,data_engineer,1,0,0,0,0,41.203323,-77.194527
CA,data_engineer,1,1,0,0,0,36.778259,-119.417931
IL,data_engineer,1,0,0,0,0,40,-89
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
CO,data_engineer,1,0,0,0,0,39.113014,-105.358887
TX,data_engineer,0,0,0,0,0,31,-100
TX,data_engineer,0,0,0,0,0,31,-100
WI,data_engineer,1,0,0,1,0,44.5,-89.5
MI,data_engineer,1,0,0,0,0,44.182205,-84.506836
NJ,data_engineer,1,0,0,1,0,39.833851,-74.871826
GA,data_engineer,0,0,0,0,0,33.247875,-83.441162
MA,data_engineer,1,0,0,0,0,45.376584,-68.972168
TX,data_engineer,1,0,0,0,0,31,-100
OH,data_engineer,1,0,0,0,0,40.367474,-82.996216
FL,data_engineer,1,0,0,0,0,27.994402,-81.760254
NH,data_engineer,1,1,0,0,1,44,-71.5
MA,data_engineer,0,0,0,1,0,45.376584,-68.972168
TN,data_engineer,1,0,0,0,0,35.860119,-86.660156
CO,data_engineer,1,0,0,0,1,39.113014,-105.358887
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
OH,data_engineer,0,0,0,0,0,40.367474,-82.996216
AL,data_engineer,0,0,0,0,0,32.31823,-86.902298
VA,data_engineer,1,1,0,0,0,37.926868,-68.024902
GA,data_engineer,1,0,0,0,1,33.247875,-83.441162
CO,data_engineer,1,0,1,0,0,39.113014,-105.358887
OR,data_engineer,1,0,1,0,0,44,-120.5
VA,data_engineer,1,0,0,0,1,37.926868,-68.024902
MI,data_engineer,1,0,0,0,1,44.182205,-84.506836
IN,data_engineer,0,0,0,0,0,40.273502,-86.126976
TX,data_engineer,0,0,0,0,0,31,-100
TX,data_engineer,0,0,0,0,0,31,-100
PA,data_engineer,0,0,0,0,0,41.203323,-77.194527
MI,data_engineer,1,0,0,1,0,44.182205,-84.506836
VA,data_engineer,0,0,0,1,0,37.926868,-68.024902
NE,data_engineer,1,0,1,0,1,41.5,-100
ME,data_engineer,1,0,0,0,0,45.376584,-68.972168
MN,data_engineer,0,0,0,0,0,46.39241,-94.63623
WI,data_engineer,1,1,0,0,1,44.5,-89.5
