Location,job_type,sql,sas,spark,java,r,lat,long
MO,data_scientist,1,0,0,0,0,38.573936,-92.60376
TX,data_scientist,1,1,0,0,1,31,-100
OR,data_scientist,1,1,0,0,1,44,-120.5
DC,data_scientist,0,0,0,0,0,47.751076,-120.740135
TX,data_scientist,0,0,0,0,1,31,-100
MD,data_scientist,0,0,0,0,0,39.045753,-76.641273
NY,data_scientist,1,0,0,0,1,43,-75
GA,data_scientist,1,0,0,0,1,33.247875,-83.441162
ID,data_scientist,0,0,0,0,1,44.068203,-114.742043
MO,data_scientist,0,0,0,0,1,38.573936,-92.60376
PA,data_scientist,0,1,0,0,1,41.203323,-77.194527
PA,data_scientist,0,1,0,0,1,41.203323,-77.194527
TX,data_scientist,0,0,0,0,0,31,-100
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
FL,data_scientist,0,0,0,1,1,27.994402,-81.760254
MA,data_scientist,1,0,0,0,1,45.376584,-68.972168
VA,data_scientist,1,1,0,0,1,37.926868,-68.024902
NJ,data_scientist,0,0,0,0,0,39.833851,-74.871826
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
LA,data_scientist,0,0,0,0,1,30.39183,-92.329102
MO,data_scientist,0,0,0,0,0,38.573936,-92.60376
MO,data_scientist,0,0,0,0,0,38.573936,-92.60376
NY,data_scientist,1,1,0,0,0,43,-75
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
VA,data_scientist,0,0,0,0,1,37.926868,-68.024902
LA,data_scientist,0,0,0,0,1,30.39183,-92.329102
NY,data_scientist,0,0,0,0,0,43,-75
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
GA,data_scientist,1,0,0,0,1,33.247875,-83.441162
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
MN,data_scientist,1,0,0,0,1,46.39241,-94.63623
WA,data_scientist,0,0,0,0,0,47.751076,-120.740135
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
TX,data_scientist,0,0,0,0,0,31,-100
