Location,Job,AVG salary,Lat,Long
Algeria,Data Scientist,60000,28.033886,1.659626
Algeria,Data Scientist,10000,28.033886,1.659626
Algeria,Data Scientist,80000,28.033886,1.659626
Algeria,Data Scientist,70000,28.033886,1.659626
Algeria,Data Scientist,7500,28.033886,1.659626
Algeria,Data Engineer,10000,28.033886,1.659626
Algeria,Data Analyst,150000,28.033886,1.659626
Algeria,Data Analyst,60000,28.033886,1.659626
Algeria,Data Analyst,40000,28.033886,1.659626
Algeria,Data Analyst,40000,28.033886,1.659626
Algeria,Data Analyst,200000,28.033886,1.659626
Algeria,Data Analyst,10000,28.033886,1.659626
Algeria,Data Analyst,20000,28.033886,1.659626
Argentina,Data Scientist,15000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,125000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,200000,-38.416096,-63.616673
Argentina,Data Scientist,125000,-38.416096,-63.616673
Argentina,Data Scientist,70000,-38.416096,-63.616673
Argentina,Data Scientist,25000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,80000,-38.416096,-63.616673
Argentina,Data Scientist,150000,-38.416096,-63.616673
Argentina,Data Scientist,20000,-38.416096,-63.616673
Argentina,Data Scientist,25000,-38.416096,-63.616673
Argentina,Data Scientist,4000,-38.416096,-63.616673
Argentina,Data Scientist,25000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,1000,-38.416096,-63.616673
Argentina,Data Scientist,30000,-38.416096,-63.616673
Argentina,Data Scientist,10000,-38.416096,-63.616673
Argentina,Data Scientist,7500,-38.416096,-63.616673
Argentina,Data Scientist,10000,-38.416096,-63.616673
Argentina,Data Scientist,125000,-38.416096,-63.616673
Argentina,Data Scientist,125000,-38.416096,-63.616673
Argentina,Data Scientist,40000,-38.416096,-63.616673
Argentina,Data Scientist,60000,-38.416096,-63.616673
Argentina,Data Scientist,1000,-38.416096,-63.616673
Argentina,Data Scientist,5000,-38.416096,-63.616673
Argentina,Data Scientist,70000,-38.416096,-63.616673
Argentina,Data Scientist,20000,-38.416096,-63.616673
Argentina,Data Scientist,70000,-38.416096,-63.616673
Argentina,Data Scientist,125000,-38.416096,-63.616673
Argentina,Data Engineer,125000,-38.416096,-63.616673
Argentina,Data Engineer,40000,-38.416096,-63.616673
Argentina,Data Analyst,70000,-38.416096,-63.616673
Argentina,Data Analyst,1000,-38.416096,-63.616673
Argentina,Data Analyst,70000,-38.416096,-63.616673
Argentina,Data Analyst,40000,-38.416096,-63.616673
Argentina,Data Analyst,50000,-38.416096,-63.616673
Australia,Data Scientist,150000,-25.274399,133.775131
Australia,Data Scientist,5000,-25.274399,133.775131
Australia,Data Scientist,70000,-25.274399,133.775131
Australia,Data Scientist,2000,-25.274399,133.775131
Australia,Data Scientist,50000,-25.274399,133.775131
Australia,Data Scientist,3000,-25.274399,133.775131
Australia,Data Scientist,50000,-25.274399,133.775131
Australia,Data Scientist,30000,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,90000,-25.274399,133.775131
Australia,Data Scientist,80000,-25.274399,133.775131
Australia,Data Scientist,70000,-25.274399,133.775131
Australia,Data Scientist,250000,-25.274399,133.775131
Australia,Data Scientist,4000,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,5000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,"> $500,000",-25.274399,133.775131
Australia,Data Scientist,70000,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,15000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,60000,-25.274399,133.775131
Australia,Data Scientist,60000,-25.274399,133.775131
Australia,Data Scientist,20000,-25.274399,133.775131
Australia,Data Scientist,80000,-25.274399,133.775131
Australia,Data Scientist,100000,-25.274399,133.775131
Australia,Data Scientist,4000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,80000,-25.274399,133.775131
Australia,Data Scientist,300000,-25.274399,133.775131
Australia,Data Scientist,25000,-25.274399,133.775131
Australia,Data Scientist,20000,-25.274399,133.775131
Australia,Data Scientist,10000,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,5000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,10000,-25.274399,133.775131
Australia,Data Scientist,2000,-25.274399,133.775131
Australia,Data Scientist,5000,-25.274399,133.775131
Australia,Data Scientist,15000,-25.274399,133.775131
Australia,Data Scientist,300000,-25.274399,133.775131
Australia,Data Scientist,7500,-25.274399,133.775131
Australia,Data Scientist,5000,-25.274399,133.775131
Australia,Data Scientist,70000,-25.274399,133.775131
Australia,Data Scientist,50000,-25.274399,133.775131
Australia,Data Scientist,100000,-25.274399,133.775131
Australia,Data Scientist,150000,-25.274399,133.775131
Australia,Data Scientist,125000,-25.274399,133.775131
Australia,Data Scientist,7500,-25.274399,133.775131
Australia,Data Scientist,90000,-25.274399,133.775131
Australia,Data Scientist,100000,-25.274399,133.775131
Australia,Data Scientist,70000,-25.274399,133.775131
Australia,Data Scientist,100000,-25.274399,133.775131
Australia,Data Scientist,250000,-25.274399,133.775131
Australia,Data Scientist,80000,-25.274399,133.775131
Australia,Data Scientist,90000,-25.274399,133.775131
Australia,Data Scientist,20000,-25.274399,133.775131
Australia,Data Scientist,90000,-25.274399,133.775131
Australia,Data Scientist,7500,-25.274399,133.775131
Australia,Data Scientist,40000,-25.274399,133.775131
Australia,Data Scientist,80000,-25.274399,133.775131
Australia,Data Scientist,20000,-25.274399,133.775131
Australia,Data Engineer,125000,-25.274399,133.775131
Australia,Data Engineer,90000,-25.274399,133.775131
Australia,Data Engineer,150000,-25.274399,133.775131
Australia,Data Engineer,125000,-25.274399,133.775131
Australia,Data Engineer,150000,-25.274399,133.775131
Australia,Data Engineer,125000,-25.274399,133.775131
Australia,Data Analyst,15000,-25.274399,133.775131
Australia,Data Analyst,60000,-25.274399,133.775131
Australia,Data Analyst,300000,-25.274399,133.775131
Australia,Data Analyst,40000,-25.274399,133.775131
Australia,Data Analyst,1000,-25.274399,133.775131
Australia,Data Analyst,100000,-25.274399,133.775131
Australia,Data Analyst,4000,-25.274399,133.775131
Australia,Data Analyst,3000,-25.274399,133.775131
Australia,Data Analyst,100000,-25.274399,133.775131
Australia,Data Analyst,60000,-25.274399,133.775131
Australia,Data Analyst,40000,-25.274399,133.775131
Australia,Data Analyst,25000,-25.274399,133.775131
Australia,Data Analyst,50000,-25.274399,133.775131
Australia,Data Analyst,4000,-25.274399,133.775131
Australia,Data Analyst,90000,-25.274399,133.775131
Australia,Data Analyst,50000,-25.274399,133.775131
Australia,Data Analyst,10000,-25.274399,133.775131
Australia,Data Analyst,20000,-25.274399,133.775131
Australia,Data Analyst,3000,-25.274399,133.775131
Australia,Data Analyst,100000,-25.274399,133.775131
Australia,Data Analyst,30000,-25.274399,133.775131
Australia,Data Analyst,60000,-25.274399,133.775131
Australia,Data Analyst,50000,-25.274399,133.775131
Australia,Data Analyst,70000,-25.274399,133.775131
Australia,Data Analyst,200000,-25.274399,133.775131
Australia,Data Analyst,90000,-25.274399,133.775131
Australia,Data Analyst,125000,-25.274399,133.775131
Australia,Data Analyst,100000,-25.274399,133.775131
Australia,Data Analyst,7500,-25.274399,133.775131
Austria,Data Scientist,125000,47.3333,13.3333
Austria,Data Scientist,40000,47.3333,13.3333
Austria,Data Scientist,150000,47.3333,13.3333
Austria,Data Scientist,40000,47.3333,13.3333
Austria,Data Scientist,70000,47.3333,13.3333
Austria,Data Scientist,80000,47.3333,13.3333
Austria,Data Scientist,100000,47.3333,13.3333
Austria,Data Scientist,200000,47.3333,13.3333
Austria,Data Scientist,5000,47.3333,13.3333
Austria,Data Scientist,90000,47.3333,13.3333
Austria,Data Scientist,1000,47.3333,13.3333
Austria,Data Scientist,150000,47.3333,13.3333
Austria,Data Engineer,25000,47.3333,13.3333
Austria,Data Engineer,15000,47.3333,13.3333
Austria,Data Analyst,150000,47.3333,13.3333
Austria,Data Analyst,10000,47.3333,13.3333
Bangladesh,Data Scientist,1000,23.43,90.26
Bangladesh,Data Scientist,60000,23.43,90.26
Bangladesh,Data Scientist,100000,23.43,90.26
Bangladesh,Data Scientist,50000,23.43,90.26
Bangladesh,Data Scientist,"> $500,000",23.43,90.26
Bangladesh,Data Scientist,20000,23.43,90.26
Bangladesh,Data Scientist,100000,23.43,90.26
Bangladesh,Data Scientist,15000,23.43,90.26
Bangladesh,Data Scientist,10000,23.43,90.26
Bangladesh,Data Scientist,125000,23.43,90.26
Bangladesh,Data Scientist,7500,23.43,90.26
Bangladesh,Data Analyst,125000,23.43,90.26
Bangladesh,Data Analyst,30000,23.43,90.26
Bangladesh,Data Analyst,20000,23.43,90.26
Bangladesh,Data Analyst,25000,23.43,90.26
Bangladesh,Data Analyst,10000,23.43,90.26
Belarus,Data Scientist,1000,53.53,27.3
Belarus,Data Scientist,2000,53.53,27.3
Belarus,Data Scientist,70000,53.53,27.3
Belarus,Data Scientist,250000,53.53,27.3
Belarus,Data Scientist,80000,53.53,27.3
Belarus,Data Scientist,50000,53.53,27.3
Belarus,Data Scientist,50000,53.53,27.3
Belarus,Data Scientist,40000,53.53,27.3
Belarus,Data Scientist,150000,53.53,27.3
Belarus,Data Scientist,80000,53.53,27.3
Belarus,Data Scientist,100000,53.53,27.3
Belarus,Data Scientist,5000,53.53,27.3
Belarus,Data Scientist,25000,53.53,27.3
Belarus,Data Scientist,40000,53.53,27.3
Belarus,Data Scientist,10000,53.53,27.3
Belarus,Data Scientist,125000,53.53,27.3
Belarus,Data Scientist,60000,53.53,27.3
Belarus,Data Scientist,60000,53.53,27.3
Belarus,Data Scientist,200000,53.53,27.3
Belarus,Data Scientist,4000,53.53,27.3
Belarus,Data Scientist,10000,53.53,27.3
Belarus,Data Engineer,125000,53.53,27.3
Belarus,Data Engineer,20000,53.53,27.3
Belarus,Data Analyst,100000,53.53,27.3
Belarus,Data Analyst,80000,53.53,27.3
Belarus,Data Analyst,80000,53.53,27.3
Belgium,Data Scientist,40000,50.51,4.21
Belgium,Data Scientist,1000,50.51,4.21
Belgium,Data Scientist,150000,50.51,4.21
Belgium,Data Scientist,70000,50.51,4.21
Belgium,Data Scientist,100000,50.51,4.21
Belgium,Data Scientist,20000,50.51,4.21
Belgium,Data Scientist,70000,50.51,4.21
Belgium,Data Scientist,30000,50.51,4.21
Belgium,Data Scientist,100000,50.51,4.21
Belgium,Data Scientist,25000,50.51,4.21
Belgium,Data Scientist,80000,50.51,4.21
Belgium,Data Scientist,30000,50.51,4.21
Belgium,Data Engineer,40000,50.51,4.21
Belgium,Data Engineer,7500,50.51,4.21
Belgium,Data Engineer,10000,50.51,4.21
Belgium,Data Analyst,150000,50.51,4.21
Belgium,Data Analyst,125000,50.51,4.21
Belgium,Data Analyst,30000,50.51,4.21
Belgium,Data Analyst,150000,50.51,4.21
Belgium,Data Analyst,50000,50.51,4.21
Belgium,Data Analyst,15000,50.51,4.21
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,25000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,200000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,2000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,25000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,5000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,7500,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,3000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,250000,15.47,47.55
Brazil,Data Scientist,2000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,250000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,250000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,1000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,300000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,200000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,3000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,5000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,300000,15.47,47.55
Brazil,Data Scientist,5000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,15000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,25000,15.47,47.55
Brazil,Data Scientist,50000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,25000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,3000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,100000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,4000,15.47,47.55
Brazil,Data Scientist,40000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,80000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,70000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,"> $500,000",15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,20000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,60000,15.47,47.55
Brazil,Data Scientist,25000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,10000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,90000,15.47,47.55
Brazil,Data Scientist,30000,15.47,47.55
Brazil,Data Scientist,125000,15.47,47.55
Brazil,Data Scientist,150000,15.47,47.55
Brazil,Data Engineer,150000,15.47,47.55
Brazil,Data Engineer,20000,15.47,47.55
Brazil,Data Engineer,70000,15.47,47.55
Brazil,Data Engineer,50000,15.47,47.55
Brazil,Data Engineer,25000,15.47,47.55
Brazil,Data Engineer,40000,15.47,47.55
Brazil,Data Engineer,30000,15.47,47.55
Brazil,Data Engineer,200000,15.47,47.55
Brazil,Data Engineer,100000,15.47,47.55
Brazil,Data Engineer,150000,15.47,47.55
Brazil,Data Engineer,80000,15.47,47.55
Brazil,Data Engineer,10000,15.47,47.55
Brazil,Data Engineer,1000,15.47,47.55
Brazil,Data Engineer,80000,15.47,47.55
Brazil,Data Engineer,125000,15.47,47.55
Brazil,Data Engineer,125000,15.47,47.55
Brazil,Data Engineer,40000,15.47,47.55
Brazil,Data Engineer,5000,15.47,47.55
Brazil,Data Engineer,90000,15.47,47.55
Brazil,Data Engineer,150000,15.47,47.55
Brazil,Data Engineer,90000,15.47,47.55
Brazil,Data Engineer,50000,15.47,47.55
Brazil,Data Engineer,1000,15.47,47.55
Brazil,Data Engineer,125000,15.47,47.55
Brazil,Data Engineer,150000,15.47,47.55
Brazil,Data Analyst,125000,15.47,47.55
Brazil,Data Analyst,50000,15.47,47.55
Brazil,Data Analyst,25000,15.47,47.55
Brazil,Data Analyst,5000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,4000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,125000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,70000,15.47,47.55
Brazil,Data Analyst,200000,15.47,47.55
Brazil,Data Analyst,60000,15.47,47.55
Brazil,Data Analyst,70000,15.47,47.55
Brazil,Data Analyst,60000,15.47,47.55
Brazil,Data Analyst,250000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,7500,15.47,47.55
Brazil,Data Analyst,125000,15.47,47.55
Brazil,Data Analyst,300000,15.47,47.55
Brazil,Data Analyst,300000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,90000,15.47,47.55
Brazil,Data Analyst,300000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,80000,15.47,47.55
Brazil,Data Analyst,60000,15.47,47.55
Brazil,Data Analyst,2000,15.47,47.55
Brazil,Data Analyst,"> $500,000",15.47,47.55
Brazil,Data Analyst,300000,15.47,47.55
Brazil,Data Analyst,125000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,70000,15.47,47.55
Brazil,Data Analyst,40000,15.47,47.55
Brazil,Data Analyst,300000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,15000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,70000,15.47,47.55
Brazil,Data Analyst,10000,15.47,47.55
Brazil,Data Analyst,90000,15.47,47.55
Brazil,Data Analyst,20000,15.47,47.55
Brazil,Data Analyst,150000,15.47,47.55
Brazil,Data Analyst,250000,15.47,47.55
Brazil,Data Analyst,60000,15.47,47.55
Brazil,Data Analyst,80000,15.47,47.55
Brazil,Data Analyst,25000,15.47,47.55
Brazil,Data Analyst,50000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,100000,15.47,47.55
Brazil,Data Analyst,20000,15.47,47.55
Brazil,Data Analyst,2000,15.47,47.55
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,2000,45.27,75.42
Canada,Data Scientist,250000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,80000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,5000,45.27,75.42
Canada,Data Scientist,40000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,80000,45.27,75.42
Canada,Data Scientist,1000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,50000,45.27,75.42
Canada,Data Scientist,60000,45.27,75.42
Canada,Data Scientist,3000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,70000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,20000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,30000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,3000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,60000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,50000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,50000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,15000,45.27,75.42
Canada,Data Scientist,200000,45.27,75.42
Canada,Data Scientist,3000,45.27,75.42
Canada,Data Scientist,4000,45.27,75.42
Canada,Data Scientist,7500,45.27,75.42
Canada,Data Scientist,40000,45.27,75.42
Canada,Data Scientist,2000,45.27,75.42
Canada,Data Scientist,300000,45.27,75.42
Canada,Data Scientist,30000,45.27,75.42
Canada,Data Scientist,250000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,25000,45.27,75.42
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,90000,45.27,75.42
Canada,Data Scientist,70000,45.27,75.42
Canada,Data Scientist,200000,45.27,75.42
Canada,Data Scientist,40000,45.27,75.42
Canada,Data Scientist,200000,45.27,75.42
Canada,Data Scientist,80000,45.27,75.42
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,70000,45.27,75.42
Canada,Data Scientist,3000,45.27,75.42
Canada,Data Scientist,15000,45.27,75.42
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,200000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,5000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,125000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,30000,45.27,75.42
Canada,Data Scientist,5000,45.27,75.42
Canada,Data Scientist,20000,45.27,75.42
Canada,Data Scientist,30000,45.27,75.42
Canada,Data Scientist,150000,45.27,75.42
Canada,Data Scientist,200000,45.27,75.42
Canada,Data Scientist,10000,45.27,75.42
Canada,Data Scientist,100000,45.27,75.42
Canada,Data Scientist,40000,45.27,75.42
Canada,Data Engineer,4000,45.27,75.42
