Job_Title,Location,machine_learning,hadoop,tableau,lat,long
Data Scientist,MO,0,0,0,38.573936,-92.60376
Data Scientist,TX,1,0,0,31,-100
Data Scientist,OR,0,0,0,44,-120.5
Graduate Studies Program - Data Scientist,DC,0,0,0,47.751076,-120.740135
Data Scientist I,TX,0,0,1,31,-100
Data Scientist - Entry to Experienced Level,MD,1,0,0,39.045753,-76.641273
Geospatial Data Scientist,NY,1,0,0,43,-75
Data Scientist,GA,1,0,0,33.247875,-83.441162
Bioinformatics Data Scientist,ID,0,0,0,44.068203,-114.742043
Data Scientist,MO,0,0,0,38.573936,-92.60376
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist,TX,1,0,0,31,-100
Jr. Data Scientist - Machine Learning,GA,1,0,0,33.247875,-83.441162
Data Scientist,GA,1,0,0,33.247875,-83.441162
Enrollment Data Scientist & Econometrician,FL,1,0,1,27.994402,-81.760254
Junior Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,VA,1,0,1,44,-72.699997
Data Analytics and Machine Learning Specialist,NJ,1,0,0,39.833851,-74.871826
"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",MA,1,0,0,45.376584,-68.972168
innovationOchsner (iO) - Data Scientist - Benson Tower,LA,1,0,0,30.39183,-92.329102
Statistician/Data Scientist,MO,0,0,0,38.573936,-92.60376
Statistician / Data Scientist,MO,0,0,0,38.573936,-92.60376
"Environmental Data Scientist, Bureau of Environmental Survei...",NY,0,0,1,43,-75
Environmental Data Manager/Data Scientist (Associate Level),GA,0,0,0,33.247875,-83.441162
Sr. Data Scientist - Secret,VA,0,0,0,44,-72.699997
innovation Ochsner - iO - Data Scientist - Benson Tower,LA,1,0,0,30.39183,-92.329102
"Google AI Resident, 2019 Start (Fixed-Term Employee)",NY,0,0,0,43,-75
"Google AI Resident, 2019 Start (Fixed-Term Employee)",MA,0,0,0,45.376584,-68.972168
Data Analysis & Machine Learning Postdoctoral Researcher,CA,1,0,0,36.778259,-119.417931
Applied Machine Learning Scientist - Digital Imaging,CA,1,0,0,36.778259,-119.417931
Machine Learning Scientist,GA,1,0,0,33.247875,-83.441162
"Google AI Resident, 2019 Start (Fixed-Term Employee)",CA,0,0,0,36.778259,-119.417931
Data Scientist/Sr. Scientific Programmer (Researcher 6),MN,1,0,0,45.376584,-68.972168
"Google AI Resident, 2019 Start (Fixed-Term Employee)",WA,0,0,0,47.751076,-120.740135
Machine Learning Intern (Summer 2019),CA,1,0,0,36.778259,-119.417931
Data Scientist (Research Director),TX,0,0,0,31,-100
Machine Learning Scientist II,WA,1,1,0,47.751076,-120.740135
DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),NC,0,0,0,35.782169,-80.793457
"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",NC,0,0,1,35.782169,-80.793457
"Senior Data Scientist, Supply Chain",IL,1,0,0,40,-89
Machine Learning,CA,1,1,0,36.778259,-119.417931
Temporary Content Developer - Machine Learning,CA,1,0,0,36.778259,-119.417931
Machine Learning,NY,1,1,0,43,-75
Computer Vision Scientist (Machine Learning),CO,1,0,0,39.113014,-105.358887
FamilySearch Machine Learning Annotation Specialist,UT,1,0,0,39.41922,-11.950684
Machine Learning Research Scientist - Optics & Photonics Lab,OH,1,0,0,40.367474,-82.996216
Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,CA,1,0,0,36.778259,-119.417931
Trainee as Data Scientist (January to June 2019),OR,0,0,0,44,-120.5
Data Scientist,WA,0,0,0,47.751076,-120.740135
Data Scientist-Tchnlgy,TX,0,0,0,31,-100
Data Scientist,OH,0,0,0,40.367474,-82.996216
Data Scientist,FL,1,0,0,27.994402,-81.760254
Data Scientist - Life Sciences,IL,1,0,0,40,-89
Data Scientist,AR,0,0,0,34.799999,-92.199997
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist,TX,0,0,0,31,-100
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist - Labor Planning & Analytics,PA,1,0,0,41.203323,-77.194527
Associate Data Scientist,MO,1,1,1,38.573936,-92.60376
D3 - Junior Data Scientist 1,NC,1,1,0,35.782169,-80.793457
Data Scientist,ME,0,0,0,45.376584,-68.972168
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,IL,1,0,0,40,-89
Data Scientist (Corporate),NV,0,0,0,39.876019,-117.224121
Junior Data Scientist,CT,1,0,0,41.599998,-72.699997
D3 - Junior Data Scientist,WA,1,1,0,47.751076,-120.740135
Data Scientist,RI,1,0,0,41.700001,-71.5
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist,NY,1,1,0,43,-75
Data Scientist,NY,1,1,0,43,-75
"Data Scientist, International Programs",VA,0,0,0,44,-72.699997
Data Scientist (Python/R) – People Analytics - USDC,FL,0,0,1,27.994402,-81.760254
Data Scientist,TN,1,0,0,35.860119,-86.660156
Data Scientist II,FL,0,0,1,27.994402,-81.760254
Junior Data Scientist,NY,1,0,1,43,-75
"Data Scientist, Membership Analytics Job",MA,1,0,0,45.376584,-68.972168
Data Scientist,TX,1,0,0,31,-100
Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist,WI,1,0,0,44.5,-89.5
Data Scientist - Junior,DC,0,0,1,47.751076,-120.740135
Data Scientist,SC,0,0,0,33.836082,-81.163727
Data Scientist,DC,0,0,0,47.751076,-120.740135
Data Scientist,MO,0,0,0,38.573936,-92.60376
Data Scientist / Prognostic Health Monitoring Specialist,IL,1,0,0,40,-89
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Analytics - Data Scientist,MI,0,0,1,44.182205,-84.506836
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data scientist,NY,0,0,0,43,-75
Data Scientist,NY,1,0,0,43,-75
Intern - Data Scientist,CA,1,1,0,36.778259,-119.417931
Data Scientist,KY,1,0,0,37.839333,-84.27002
Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,AZ,0,0,0,34.048927,-11.093735
Data Scientist (Corporate),NV,1,0,0,39.876019,-117.224121
Senior Data Scientist,FL,0,0,1,27.994402,-81.760254
Sr Data Scientist,WA,0,0,0,47.751076,-120.740135
Data Scientist,GA,1,0,0,33.247875,-83.441162
Data Scientist - IS&T,PA,1,0,0,41.203323,-77.194527
Data Science Development Program- Junior Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,VA,0,1,0,44,-72.699997
Data Scientist,IL,1,0,0,40,-89
Data Scientist,UT,1,0,0,39.41922,-11.950684
Check and Deposit Fraud Data Scientist,NC,1,0,1,35.782169,-80.793457
Data Scientist,NY,1,1,0,43,-75
"Data Scientist, Bioinformatics Developer",MA,0,0,0,45.376584,-68.972168
Data Scientist,DC,0,0,0,47.751076,-120.740135
